KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T000847001,T000847002,T000847003,T000847004,T000847005,T000847006,T000847007,T000847008,T000847009,T000847010,T000847011,T000847012,T000847013,T000847014,T000847015,T000847016,T000847017,T000847018,T000847019,T000847020,T000847021,T000847022,T000847023,T000847024,T000847025,T000847026,T000847027,T000847028,T000847029,T000847030,T000847031,T000847032,T000847033,T000847034,T000847035,T000847036,T000847037,T000847038,T000847039,T000847040,T000847041
,,,,Å@êlå˚ëçêî,Å@êlå˚ëçêîÅ@íj,Å@êlå˚ëçêîÅ@èó,Å@ÇOÅ`ÇPÇSçŒêlå˚ëçêî,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@íj,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@èó,Å@ÇPÇTçŒà»è„êlå˚ëçêî,Å@ÇPÇTçŒà»è„êlå˚Å@íj,Å@ÇPÇTçŒà»è„êlå˚Å@èó,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚ëçêî,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@íj,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@èó,Å@ÇQÇOçŒà»è„êlå˚ëçêî,Å@ÇQÇOçŒà»è„êlå˚Å@íj,Å@ÇQÇOçŒà»è„êlå˚Å@èó,Å@ÇUÇTçŒà»è„êlå˚ëçêî,Å@ÇUÇTçŒà»è„êlå˚Å@íj,Å@ÇUÇTçŒà»è„êlå˚Å@èó,Å@ÇVÇTçŒà»è„êlå˚ëçêî,Å@ÇVÇTçŒà»è„êlå˚Å@íj,Å@ÇVÇTçŒà»è„êlå˚Å@èó,Å@äOçëêlêlå˚ëçêî,Å@äOçëêlêlå˚Å@íj,Å@äOçëêlêlå˚Å@èó,Å@ê¢ë—ëçêî,Å@àÍî ê¢ë—êî,Å@ÇPêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇQêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇRêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇSêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇTêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇUêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇVêlà»è„ê¢ë—ÇÃàÍî ê¢ë—êî,Å@êeë∞ÇÃÇ›ÇÃàÍî ê¢ë—êî,Å@äjâ∆ë∞ÇÃàÍî ê¢ë—êî,Å@äjâ∆ë∞à»äOÇÃàÍî ê¢ë—êî,Å@ÇUçŒñ¢ñûê¢ë—àıÇÃÇ¢ÇÈàÍî ê¢ë—êî,Å@ÇUÇTçŒà»è„ê¢ë—àıÇÃÇ¢ÇÈàÍî ê¢ë—êî,Å@ê¢ë—éÂÇÃîNóÓÇ™ÇQÇOÅ`ÇQÇXçŒÇÃÇPêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@çÇóÓíPêgÇÃàÍî ê¢ë—êî,Å@çÇóÓïvïwÇÃÇ›ÇÃàÍî ê¢ë—êî
523847391,0,,,19,8,11,2,0,2,17,8,9,7,3,4,17,8,9,10,5,5,6,3,3,0,0,0,6,6,0,3,1,1,0,1,0,6,3,3,0,5,0,0,1
523847392,0,,,30,14,16,0,0,0,30,14,16,19,9,10,29,14,15,11,5,6,8,4,4,0,0,0,10,10,1,4,2,2,0,0,1,9,7,2,0,7,0,0,1
523847393,0,,,29,13,16,5,2,3,24,11,13,15,6,9,23,11,12,9,5,4,8,4,4,0,0,0,9,9,1,3,2,1,1,0,1,8,5,3,1,6,0,1,2
523847394,0,,,33,18,15,0,0,0,33,18,15,20,12,8,33,18,15,13,6,7,6,3,3,2,2,0,11,11,0,4,3,4,0,0,0,10,7,3,0,9,0,0,4
523847412,0,,,166,77,89,21,9,12,145,68,77,90,44,46,142,66,76,55,24,31,29,8,21,0,0,0,61,61,15,16,13,9,5,2,1,45,29,16,5,40,8,3,5
523847431,2,523847433,,3,1,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
523847433,1,,523847431,17,9,8,0,0,0,20,10,10,13,8,5,20,10,10,7,2,5,4,1,3,0,0,0,7,7,2,4,2,1,0,0,0,7,6,1,0,6,0,2,0
523847434,0,,,111,54,57,14,10,4,97,44,53,61,29,32,95,44,51,36,15,21,20,6,14,2,1,1,39,39,6,11,13,4,3,1,1,32,22,10,5,22,0,4,3
523847441,0,,,931,435,496,106,56,50,824,378,446,469,237,232,798,365,433,355,141,214,203,74,129,9,5,4,383,379,153,107,49,38,25,5,2,218,177,41,29,192,20,64,41
523847442,0,,,464,205,259,49,27,22,413,177,236,248,116,132,387,165,222,165,61,104,88,31,57,4,2,2,189,188,69,54,26,16,17,3,3,116,80,36,12,105,11,34,24
523847443,0,,,488,219,269,55,26,29,431,191,240,263,130,133,414,183,231,168,61,107,105,36,69,3,0,3,187,185,62,62,36,18,5,0,2,120,107,13,12,72,8,19,14
523847444,0,,,161,72,89,22,7,15,139,65,74,91,45,46,127,59,68,48,20,28,19,6,13,0,0,0,56,56,10,19,8,10,6,2,1,44,35,9,7,30,0,5,8
523847451,0,,,1803,869,934,298,150,148,1504,718,786,1081,537,544,1409,669,740,423,181,242,186,79,107,21,6,15,752,752,261,193,112,129,41,13,3,478,401,77,81,313,24,106,75
523847452,0,,,1123,535,588,160,83,77,963,452,511,658,329,329,910,426,484,305,123,182,123,48,75,17,6,11,436,436,131,120,77,50,35,18,5,300,231,69,42,219,9,62,34
523847453,0,,,1160,564,596,162,92,70,997,471,526,684,341,343,942,441,501,313,130,183,129,47,82,26,10,16,495,495,150,160,88,66,24,7,0,339,297,42,53,219,27,60,54
523847454,0,,,1601,767,834,202,99,103,1398,667,731,952,469,483,1333,633,700,446,198,248,212,84,128,17,5,12,710,710,266,195,128,75,26,12,8,428,347,81,61,309,35,103,71
